	-2	-1.75	-1.5	-1.25	-1	-0.75	-0.5	-0.25	0	0.25	0.5	0.75	1	1.25	1.5	1.75	2
-2	0.9601703	0.8611924	0.7086698	0.5120855	0.2836622	0.0376022	-0.2107958	-0.4460875	-0.6536436	-0.8205594	-0.9364567	-0.9941297	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468
-1.75	0.7086698	0.5120855	0.2836622	0.0376022	-0.2107958	-0.4460875	-0.6536436	-0.8205594	-0.9364567	-0.9941297	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372
-1.5	0.2836622	0.0376022	-0.2107958	-0.4460875	-0.6536436	-0.8205594	-0.9364567	-0.9941297	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023
-1.25	-0.2107958	-0.4460875	-0.6536436	-0.8205594	-0.9364567	-0.9941297	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826
-1	-0.6536436	-0.8205594	-0.9364567	-0.9941297	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826	0.9689124	1
-0.75	-0.9364567	-0.9941297	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826	0.9689124	1	0.9689124	0.8775826
-0.5	-0.9899925	-0.9243024	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826	0.9689124	1	0.9689124	0.8775826	0.7316889	0.5403023
-0.25	-0.8011436	-0.6281736	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826	0.9689124	1	0.9689124	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372
0	-0.4161468	-0.1782461	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826	0.9689124	1	0.9689124	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468
0.25	0.0707372	0.3153224	0.5403023	0.7316889	0.8775826	0.9689124	1	0.9689124	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436
0.5	0.5403023	0.7316889	0.8775826	0.9689124	1	0.9689124	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925
0.75	0.8775826	0.9689124	1	0.9689124	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925	-0.9941297	-0.9364567
1	1	0.9689124	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925	-0.9941297	-0.9364567	-0.8205594	-0.6536436
1.25	0.8775826	0.7316889	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925	-0.9941297	-0.9364567	-0.8205594	-0.6536436	-0.4460875	-0.2107958
1.5	0.5403023	0.3153224	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925	-0.9941297	-0.9364567	-0.8205594	-0.6536436	-0.4460875	-0.2107958	0.0376022	0.2836622
1.75	0.0707372	-0.1782461	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925	-0.9941297	-0.9364567	-0.8205594	-0.6536436	-0.4460875	-0.2107958	0.0376022	0.2836622	0.5120855	0.7086698
2	-0.4161468	-0.6281736	-0.8011436	-0.9243024	-0.9899925	-0.9941297	-0.9364567	-0.8205594	-0.6536436	-0.4460875	-0.2107958	0.0376022	0.2836622	0.5120855	0.7086698	0.8611924	0.9601703
